"id","name","country","address","created_at"
236,"Pam e Panorama","it","via del commercio, 27 - 30038 Spinea (VE)","2017-03-04 16:05:20"
237,"Sol Del Cusco","pe","Av. San Luis 890 - Lima","2017-04-23 13:57:04"
238,"Chapon","fr","rue de Valengelier, 2 - 77500 Chelles","2017-04-23 14:00:24"
239,"Zotter","at","Bergl, 56, A-8333 Riegersburg","2017-04-23 14:09:25"
240,"Die Spiegelburg","de","Hafenweg 30, 48155 Munster","2017-05-28 15:29:50"
241,"Dardenne","fr","D125 - Salles et Pratviel - 31 110 Luchon","2017-07-29 14:53:34"
242,"Chocolates di Perugia","pe","Avenida La Paz, 2350 San Miguel, Lima","2017-07-29 14:59:16"
243,"Clos de l'Arcke","fr","41320 Langon","2017-07-29 15:05:06"
244,"Un dimanche à Paris","fr","4-6-8, Cour du Commerce Saint Andrè, Odéon, Paris","2017-07-29 15:11:07"
246,"Marks & Spencer","gb","PO Box 3339 Chester CH99 9QS","2017-07-29 15:18:20"
247,"Ikea","se","Almhultsgatan 2, SE-215 86 Malmo","2017-07-29 15:22:09"
248,"motycafè","it","corso Umberto I, 137; Modica","2017-10-28 15:21:50"
249,"Ciokcafè","it","corso Umberto I, 110; 97015 Modica (RG)","2017-10-28 15:30:17"
250,"Xocolat","at","Servitengasse 5, 1090 Wien","2017-10-28 15:37:06"
251,"Francois Pralus","fr","34, rue Général Giraud; 42300 ROANNE","2017-12-08 15:18:22"
252,"Magnum","gb","KCL, Units 1 & 2 Oxborough Lane, Fakenham, Norfolk, NR21 8AF","2017-12-08 16:06:23"
253,"La maison du chocolat","fr","41, rue Paul Lescop 92000 Nanterre","2017-12-08 16:09:00"
254,"Saldac","fr","14 chemin des Blaches du levant 26200 Montélimar","2017-12-08 16:14:25"
255,"Martin Mayer","at","Zwisl 1, 4714 Meggenhofen","2017-12-08 16:22:30"
256,"Moroso","it","Piazza Aquileia, 27, Zompicchia di Codroipo","2017-12-08 16:32:43"
257,"Carrefour","it","Via Caldera, 21 - 20153 Milano","2017-12-09 15:51:13"
258,"B.langhe","it","str. Basse 7/c - 12051 Alba","2018-02-17 15:29:27"
259,"Motta","it","via Verdi, 31 - 37060 Castel d'Azzano (VR)","2018-02-17 16:00:01"
260,"Ricar","nl","Lusernestraat 39, Nieuw-Vennep","2018-02-17 16:36:37"
261,"Wickedly Welsh","gb","Withybush Industrial Park, Withybush road - Haverfordwest, Pembrokeshire, SA62 4BS","2018-02-18 09:38:59"
262,"Maria Teportlan","mx","Chablekal CP 97305 Merida Yucatan","2018-02-18 09:47:37"
263,"Lidl","de","Stiftsbergstr. 1, D-74167 Neckarslum","2018-02-18 09:57:41"
265,"Astor chocolate","us","Lakewood, NJ 08701","2018-02-18 11:19:13"
266,"Taza","us","561 Windsor Street - Somerville , MA 02143","2018-02-18 11:22:27"
267,"Verkade","nl","Antwoordnummer 1310, 1500 WC Zaandam","2018-02-18 11:27:19"
268,"Beppiani","it","via Madonna del Piave, 24, Lentiai (BL)","2018-04-03 13:34:13"
269,"Caffè dell'arte","it","","2018-04-03 14:07:29"
270,"Pump Street","gb","Orford, Suffolk, UK","2018-04-03 14:49:29"
271,"Cusco ancestral","pe","Urb. La florida H-3 Wanchaq - Cusco","2018-04-03 15:24:03"
272,"Gepa","de","Weg 1, 42327 Wuppertal","2018-04-03 15:27:20"
273,"Original beans","nl","Mauritskade 64, 1092AD Amsterdam","2018-04-03 15:35:45"
274,"Chocolat Madagascar","mg","S.A, B.P 6211, 101 Antananarivo","2018-06-02 14:58:06"
275,"Stollwerck","de","Am Stammgleis 9, 22844 Norderstedt","2018-06-02 15:00:50"
276,"Ethereal","us","113 South Benton Street, Woodstock, IL 60098","2018-06-02 15:04:01"
277,"Amaro","it","piazza Risorgimento, 1 Carate (MB)","2018-06-02 15:08:05"
278,"Barbero","it","via Brofferio, 84","2018-06-02 15:38:39"
279,"Iper","it","via Ponchielli, 7 - 20129 Milano","2018-06-02 15:41:00"
280,"Ghiott cioccolato","it","via Sangallo, 21 - 50028 Tavernelle Val di Pesa (FI)","2018-10-14 19:40:43.766122"
281,"Pasticceria Chantilly","it","Corso Umberto I, 76 - 97015 Modica (RG)","2018-10-14 20:25:45.623384"
282,"Prana","it","Fraz. Morano M. - 06023 Gualdo Tadino (PG)","2018-10-14 20:40:25.498063"
283,"Chocolate makers","nl","zesde vogelstraat 54 - 1022 XE, Amsterdam","2018-10-20 15:21:45.185779"
284,"Mirzam","ae","Dubai","2018-10-20 15:26:19.378536"
285,"Goodnow Farms chocolate","us","80 Goodnow Road - Sudbury, MA 01776","2018-10-20 15:33:31.386149"
286,"Eritaj chocolat","fr","67000 Strasbourg","2018-10-20 15:54:18.599459"
287,"Piotr i Pawel","pl","ul. Druskienicka 12 - 60-476 Poznan","2018-10-20 16:31:55.588646"
288,"manufaktura Czekolady","pl","Goscinowa 116, 05-092 Lomianki","2018-10-20 16:37:27.519709"
289,"Biedronka","pl","ul. Zniwna 5, 62-025 Kostrzyn","2018-10-20 16:43:15.969343"
290,"Joel Durand","fr","3, boulevard Victor-Hugo - 13210 SaintRemy de Provence","2018-10-20 16:47:44.636484"
291,"Jeff de Bruges","fr","12 avenue Joseph Paxton, 77164 Ferrieres-en-Brie","2018-10-20 16:52:18.204304"
292,"Le petit duc","fr","7, Boulevard Victor Hugo - 13210 Saint Remy de Provence","2018-10-20 16:54:44.180682"
294,"Solkiki","gb","Pinnacle, North St., TA12 6DH","2018-10-20 17:10:34.688004"
295,"Chocolate Tree","gb","5A Knox Place, Haddington, Scotland EH41 4DY","2018-10-20 17:15:35.694362"
297,"Berryshka","si","Sentvid pri Sticni 152","2018-10-20 17:21:17.686106"
298,"Fu Wan","tw","No. 100, Dapeng Rd., Donggang Township, Pingtung Country 928","2018-10-20 17:25:03.053563"
299,"Mucho chocolate","mx","Milan 45, col. Juarez, CDMX","2018-10-20 17:29:45.759687"
300,"Conexion","ec","Quito","2018-10-20 17:33:03.815776"
