"id","producer_id","description","cocoa_percentage","wrapper","quantity","double","archive","notes","created_at"
67,53,"Cioccolato fondente",0,"paper",70,0,"faldone giallo","","2015-05-23 18:14:21"
68,52,"Cioccolato fondente",60,"paper",100,1,"faldone giallo","","2015-05-23 18:14:21"
69,51,"Ingwer schokolade",70,"box",100,0,"","","2015-05-23 18:14:21"
70,49,"Massa di cacao",100,"box",50,0,"","","2015-05-23 18:14:21"
71,50,"Cioccolato fondente extra Ecuador",70,"box",100,0,"faldone blu","","2015-05-23 18:14:21"
72,55,"Edelbitter schocolade",74,"paper",100,0,"raccoglitore","","2015-05-23 18:14:21"
73,56,"Milk chocolate with rosted coconut",0,"box",0,0,"","cioccolatini","2015-05-23 18:14:21"
74,8,"Nocciolato",31,"paper",125,1,"faldone giallo","","2015-05-23 18:14:21"
75,57,"Cioccolato fondente extra",70,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
76,58,"Dark chocolate with whole almonds",45,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
77,59,"Memories from Greece bitter chocolate",50,"paper",100,1,"faldone rosso","","2015-05-23 18:14:21"
78,60,"Cioccolato extra fondente con granella di cacao",80,"box",100,1,"","","2015-05-23 18:14:21"
79,16,"Premium fontente intenso e armonioso",72,"box",100,0,"faldone verde","","2015-05-23 18:14:21"
80,16,"Creation crème brulée",30,"box",150,0,"faldone verde","da Luca","2015-05-23 18:14:21"
81,49,"Cioccolato puro",70,"box",50,0,"","","2015-05-23 18:14:21"
82,1,"Criollo Canoabo",70,"box",25,0,"","","2015-05-23 18:14:21"
83,60,"Cioccolato extra fondente arancia",70,"box",100,0,"","","2015-05-23 18:14:21"
84,58,"Dark chocolate with whole almonds",72,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
85,61,"Bitter chocolate",70,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
86,47,"le Noir rond et chalereux",68,"paper",250,0,"","","2015-05-23 18:14:21"
87,62,"Cioccolata al bombardino",0,"paper",100,0,"faldone giallo","da Luca","2015-05-23 18:14:21"
88,52,"Cioccolato extra dark",72,"paper",100,1,"faldone giallo","","2015-05-23 18:14:21"
89,63,"Koybeptoypa",53,"paper",200,0,"faldone rosso","","2015-05-23 18:14:21"
90,16,"Cioccolato fondente con peperoncino",49,"box",100,0,"faldone verde","","2015-05-23 18:14:21"
91,33,"Extra fondente Costa Rica con fave di cacao",80,"box",100,1,"faldone blu","","2015-05-23 18:14:21"
92,29,"Cioccolato gianduia incarto storico",26,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
93,33,"Fondente con zenzero",70,"box",50,0,"faldone blu","","2015-05-23 18:14:21"
94,60,"Cioccolato extra fondente",75,"box",100,1,"","","2015-05-23 18:14:21"
95,64,"Cioccolato fondente extra",48,"box",150,0,"","da Mariagrazia","2015-05-23 18:14:21"
96,64,"Cioccolato extra fondente amaro",70,"box",150,0,"","da Mariagrazia","2015-05-23 18:14:21"
97,6,"Al latte cremoso",30,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
98,16,"Fondente",50,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
99,39,"Salmiakki",30,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
100,45,"Fondente",60,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
101,47,"Chocolat noir Caraibe",66,"box",70,0,"","","2015-05-23 18:14:21"
102,31,"Grandi Cru del cacao Ecuador (argento)",75,"box",75,0,"faldone blu","","2015-05-23 18:14:21"
103,65,"Chocolate con leche Criollo Centenario",38,"box",500,0,"","da Mariagrazia","2015-05-23 18:14:21"
104,31,"Extra fondente con mandorla e arancia",70,"box",75,0,"faldone blu","","2015-05-23 18:14:21"
105,29,"Cioccolato extra fondente incarto storico",51,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
106,66,"Bitter Cikolata",60,"paper",80,0,"faldone rosso","","2015-05-23 18:14:21"
107,57,"Cioccolato fondente",72,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
108,67,"Cioccolato puro extra fondente",70,"paper",100,1,"faldone giallo","","2015-05-23 18:14:21"
109,43,"Composizione numero 1",79,"box",50,0,"","","2015-05-23 18:14:21"
110,1,"Morogoro - Tanzania",70,"box",25,0,"faldone blu","","2015-05-23 18:14:21"
111,49,"Cioccolato puro",80,"box",50,0,"","","2015-05-23 18:14:21"
112,68,"Finissimo cioccolato fondente extra - Venezuela",85,"paper",50,0,"faldone giallo","","2015-05-23 18:14:21"
113,66,"Bitter Cikolata",54,"paper",80,0,"faldone rosso","","2015-05-23 18:14:21"
114,61,"Bitter sweet chocolate  with hazelnuts",43,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
115,69,"Cioccolato di Modica al peperoncino",50,"box",100,0,"faldone blu","","2015-05-23 18:14:21"
116,58,"Dark chocolate",45,"paper",100,1,"faldone rosso","","2015-05-23 18:14:21"
117,52,"Cioccolato finissimo al latte",32,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
118,70,"Toscano black cioccolato fondente extra",63,"box",50,0,"faldone blu","","2015-05-23 18:14:21"
119,70,"Toscano black cioccolato fondente extra",66,"box",50,0,"faldone blu","","2015-05-23 18:14:21"
120,13,"Gianduia",42,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
121,13,"Fondente con nocciole intere 100 years of Ritter",50,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
122,31,"Nocciolato",31,"box",70,0,"","","2015-05-23 18:14:21"
123,54,"Lake Mivatn",33,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
124,29,"Cioccolato extra al latte incarto storico",35,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
125,68,"Finissimo cioccolato fondente extra - Colombia",75,"paper",50,0,"faldone giallo","","2015-05-23 18:14:21"
126,14,"Feine bitter kuverture",70,"paper",200,0,"raccoglitore","","2015-05-23 18:14:21"
127,16,"Cioccolato bianco con frutti di bosco",0,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
128,29,"Sfoglie (2013)",70,"box",96,0,"","","2015-05-23 18:14:21"
129,46,"Fondente con granella di cacao",68,"box",75,0,"","","2015-05-23 18:14:21"
130,68,"Finissimo cioccolato fondente con cristalli di zucchero di canna",70,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
131,70,"Toscano black cioccolato fondente extra",70,"box",50,0,"faldone blu","","2015-05-23 18:14:21"
132,31,"Puro cioccolato Moscato",30,"box",75,0,"faldone blu","","2015-05-23 18:14:21"
133,16,"Latte (Natale 2012)",30,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
134,6,"Cioccolato fondente amaro extra",99,"box",75,0,"faldone blu","","2015-05-23 18:14:21"
135,71,"Juanita all'arancia",60,"box",90,0,"","","2015-05-23 18:14:21"
136,43,"I nudi puro cioccolato fondente",99,"paper",50,0,"faldone giallo","","2015-05-23 18:14:21"
137,71,"Pepita al tè verde",60,"box",90,0,"","","2015-05-23 18:14:21"
138,16,"Cioccolato fondente con granella alla menta (2013)",50,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
139,73,"Biologische chocolade extra puur",72,"paper",100,1,"faldone rosso","","2015-05-23 18:14:21"
140,74,"Noir Eclats de cacao",70,"box",80,0,"","","2015-05-23 18:14:21"
141,74,"Chocolat au lait fourrè aux amandes",30,"paper",70,0,"faldone rosso","","2015-05-23 18:14:21"
142,74,"Chocolat au lait fourrè aux noisettes entières",30,"paper",65,0,"faldone rosso","","2015-05-23 18:14:21"
143,74,"Chocolat au lait fourrè au praliné",30,"paper",70,0,"faldone rosso","","2015-05-23 18:14:21"
144,74,"Chocolat au lait fourrè croustillant",30,"paper",70,0,"faldone rosso","","2015-05-23 18:14:21"
145,9,"Manchò cioccolata modicana con manna",85,"box",50,0,"","","2015-05-23 18:14:21"
146,14,"Feine bitter orange",70,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
147,9,"Cioccolato con cristalli di sale",70,"paper",60,0,"","","2015-05-23 18:14:21"
148,75,"Fondente extra bitter con fruttosio",75,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
149,16,"Cioccolato al latte con pezzi di cocco",30,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
150,76,"Chocolat noir belge",72,"paper",70,0,"faldone rosso","","2015-05-23 18:14:21"
151,1,"Criollo Puertofino",70,"box",25,0,"faldone blu","","2015-05-23 18:14:21"
152,2,"Cacao al 100%",100,"box",40,0,"","","2015-05-23 18:14:21"
153,2,"Extra fondente con granella di cacao",75,"box",40,0,"","","2015-05-23 18:14:21"
154,2,"Fondente con anice stellato",65,"box",100,0,"","","2015-05-23 18:14:21"
155,3,"Extra fondente",99,"box",100,0,"","","2015-05-23 18:14:21"
156,4,"Pasta di cacao",100,"box",100,1,"","","2015-05-23 18:14:21"
157,5,"Sao Tomè",80,"paper",80,0,"faldone giallo","","2015-05-23 18:14:21"
158,6,"Fondente extra amaro",72,"paper",100,1,"faldone giallo","","2015-05-23 18:14:21"
159,7,"Extra fondente",85,"paper",100,1,"faldone giallo","","2015-05-23 18:14:21"
160,7,"Extra fondente",75,"paper",800,0,"","","2015-05-23 18:14:21"
161,7,"Extra fondente",75,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
162,7,"Extra fondente (2011)",75,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
163,8,"Mascao fondente extra quinoa e riso",61,"box",100,0,"faldone blu","","2015-05-23 18:14:21"
164,8,"Mascao fondente extra fave di cacao",73,"box",100,0,"faldone blu","","2015-05-23 18:14:21"
165,8,"Mascao fondente extra arancia",58,"box",100,0,"faldone blu","","2015-05-23 18:14:21"
166,8,"Mascao fondente extra",70,"box",100,0,"faldone blu","","2015-05-23 18:14:21"
167,8,"Companera extra fondente",70,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
168,9,"Manchò cioccolata modicana con manna",45,"box",50,0,"","","2015-05-23 18:14:21"
169,10,"Origine fondente Ghana",70,"box",50,0,"","da Andrea Ginestra","2015-05-23 18:14:21"
170,10,"Origine fondente Grenade",60,"box",50,0,"","da Andrea Ginestra","2015-05-23 18:14:21"
171,11,"Herbe zartbitter",74,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
172,12,"Kakao + orange",74,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
173,13,"Fondente",50,"paper",100,1,"faldone rosso","","2015-05-23 18:14:21"
174,14,"Feine bitter",71,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
175,15,"Ciocolata neagra deosebita",51,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
176,16,"Noir puissant",85,"box",100,1,"faldone verde","","2015-05-23 18:14:21"
177,17,"Czecholada chili",72,"box",90,0,"","","2015-05-23 18:14:21"
178,17,"Czecholada deserowa",58,"box",90,0,"","","2015-05-23 18:14:21"
179,17,"Czecholada gorzka",72,"box",90,0,"","","2015-05-23 18:14:21"
180,18,"Gorzka",60,"box",100,0,"","","2015-05-23 18:14:21"
181,18,"Gorzka klasyczna",60,"paper",90,0,"faldone rosso","","2015-05-23 18:14:21"
182,19,"Cocoacara pure dark chocolate",77,"box",100,0,"","","2015-05-23 18:14:21"
183,19,"Cocoacara dark chocolate orange and chili",77,"box",100,0,"","","2015-05-23 18:14:21"
184,19,"Cocoacara dark chocolate coffea and cardamom",77,"box",100,0,"","","2015-05-23 18:14:21"
185,19,"Gorzka",45,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
186,19,"gorzka bakaliowa",45,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
187,20,"Czekolada gorzka",60,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
188,21,"Czekolada gorzka",46,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
189,21,"Czekolada gorzka malinowe",46,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
190,21,"Czekolada extra gorzka",65,"paper",90,0,"faldone rosso","","2015-05-23 18:14:21"
191,22,"Czekolada gorzka",60,"paper",80,0,"faldone rosso","","2015-05-23 18:14:21"
192,23,"Czekolada gorzka",70,"paper",100,0,"raccoglitore","","2015-05-23 18:14:21"
193,24,"Danusia klasyczna deserowa czekolada nadziewana",43,"paper",102,0,"faldone rosso","","2015-05-23 18:14:21"
194,24,"Gorzka krakowska",70,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
195,24,"Czekolada gorzka",90,"paper",100,0,"raccoglitore","","2015-05-23 18:14:21"
196,24,"Czekolada gorzka ze skorka pomaranczy",70,"paper",100,0,"raccoglitore","","2015-05-23 18:14:21"
197,24,"Czekolada gorzka Krakow barbakanem",90,"paper",100,0,"raccoglitore","","2015-05-23 18:14:21"
198,24,"Czekolada gorzka Warszawa palac kultury i nauky",90,"paper",100,0,"raccoglitore","","2015-05-23 18:14:21"
199,24,"Czekolada gorzka Krakow municipio",90,"paper",100,0,"raccoglitore","","2015-05-23 18:14:21"
200,24,"Czekolada gorzka Warszawa plac Zamkowy",90,"paper",100,0,"raccoglitore","","2015-05-23 18:14:21"
201,24,"Czekolada gorzka Krakow cappella di Sigismondo",90,"paper",100,0,"raccoglitore","","2015-05-23 18:14:21"
202,25,"Czekolada gorzka 160 lat",64,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
203,25,"Czekolada gorzka",64,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
204,25,"Dark maestria",76,"box",100,0,"","","2015-05-23 18:14:21"
205,25,"Dark maestria with coffea and cocoa nibs",55,"box",100,0,"","","2015-05-23 18:14:21"
206,25,"Dark maestra with raspberry",55,"box",100,0,"","","2015-05-23 18:14:21"
207,25,"Dark maestra with pecan nuts",55,"box",100,0,"","","2015-05-23 18:14:21"
208,25,"Gorzka Krakow 1618",72,"box",100,0,"","","2015-05-23 18:14:21"
209,25,"Gorzka Krakow 1914",72,"box",100,0,"","","2015-05-23 18:14:21"
210,25,"Gorzka syrenka warszawska",72,"box",100,0,"","","2015-05-23 18:14:21"
211,25,"Gorzka Gdansk 1616",72,"box",100,0,"","","2015-05-23 18:14:21"
212,25,"Gorzka Wawel 1869",72,"box",100,1,"","","2015-05-23 18:14:21"
213,25,"Gorzka Fryderyk Chopin 1837",72,"box",100,0,"","","2015-05-23 18:14:21"
214,25,"Gorzka Krakow 1799",72,"box",100,0,"","","2015-05-23 18:14:21"
215,25,"Gorzka Warszawa 1770",72,"box",100,0,"","","2015-05-23 18:14:21"
216,25,"Gorzka dworek chopina",72,"box",100,0,"","","2015-05-23 18:14:21"
217,25,"Gorzka Warszawa 1656",72,"box",100,0,"","","2015-05-23 18:14:21"
218,25,"Gorzka Warszawa 1901",72,"box",100,0,"","","2015-05-23 18:14:21"
219,25,"Gorzka Wawel 1847",72,"box",100,0,"","","2015-05-23 18:14:21"
220,25,"Gorzka pomnik fryderyka chopina",72,"box",100,0,"","","2015-05-23 18:14:21"
221,25,"Czekolada mleczna z nadzieniem o smaku truskawki",31,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
222,25,"Czekolada mleczna z nadzieniem o smaku gruszki",31,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
223,25,"Czekolada mleczna z nadzieniem o smaku wisni",31,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
224,26,"Ecuador Orange",70,"box",125,0,"","da Samanta","2015-05-23 18:14:21"
225,27,"Horka cokolada",86,"box",100,0,"","","2015-05-23 18:14:21"
226,16,"Noir intense",70,"box",100,1,"faldone verde","da Mariagrazia","2015-05-23 18:14:21"
227,16,"Noir orange intense",48,"box",100,1,"faldone verde","da Mariagrazia","2015-05-23 18:14:21"
228,16,"Noir menthe intense",47,"box",100,0,"faldone verde","da Mariagrazia","2015-05-23 18:14:21"
229,29,"Semi di cacao",70,"box",100,1,"faldone blu","","2015-05-23 18:14:21"
230,26,"Arriba superieur",81,"box",125,0,"","","2015-05-23 18:14:21"
231,30,"Cioccoblocco",43,"paper",230,0,"faldone giallo","un po' rovinato","2015-05-23 18:14:21"
232,16,"Noix de coco intense",47,"box",100,0,"faldone verde","","2015-05-23 18:14:21"
233,33,"Fondente con acai (100% organic)",62,"box",50,0,"faldone blu","","2015-05-23 18:14:21"
234,14,"Edel bitter cranberry Ecuador",70,"box",100,0,"faldone verde","","2015-05-23 18:14:21"
235,77,"Chocolade extra puur",70,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
236,78,"Tony's chocolonely",72,"paper",180,0,"faldone rosso","","2015-05-23 18:14:21"
237,9,"LAeQUA senza spezie",70,"box",60,0,"","","2015-05-23 18:14:21"
238,79,"Pistachio crocan milk chocolate",35,"box",60,0,"","","2015-05-23 18:14:21"
239,79,"Hazelnut crocan milk chocolate",35,"box",60,0,"","","2015-05-23 18:14:21"
240,80,"Finest cacao",60,"box",100,0,"","","2015-05-23 18:14:21"
241,81,"Nocciole ricoperte di cioccolato fondente",61,"box",90,0,"","","2015-05-23 18:14:21"
242,81,"Perle di cereali caramellate al miele ricoperte di cioccolato fondente",66,"box",80,0,"","","2015-05-23 18:14:21"
243,82,"Ciocciolata modicana alla melagrana",50,"label",100,0,"faldone giallo","","2015-05-23 18:14:21"
244,83,"Cioccolato fondente extra",60,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
245,84,"Braco Mljecna cokolada",30,"paper",75,0,"faldone rosso","","2015-05-23 18:14:21"
246,9,"LAeQUA alla vaniglia",45,"box",60,0,"","","2015-05-23 18:14:21"
247,68,"Finissimo cioccolato fondente extra - Perù",70,"paper",50,0,"faldone giallo","","2015-05-23 18:14:21"
248,46,"Fondente",74,"box",75,0,"","","2015-05-23 18:14:21"
249,71,"Juanita senza zucchero",60,"box",90,0,"","","2015-05-23 18:14:21"
250,85,"Cuba gran cru",70,"box",72,0,"","","2015-05-23 18:14:21"
251,83,"Cioccolato fondente extra - Repubblica Dominicana",70,"box",100,0,"faldone blu","","2015-05-23 18:14:21"
252,82,"Cioccolato di Modica al gelsomino",45,"box",50,0,"","","2015-05-23 18:14:21"
253,60,"Cioccolato fondente",55,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
254,8,"Companera cioccolato bianco",0,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
255,31,"Extra fondente gran selezione degustazione",70,"box",70,0,"faldone blu","","2015-05-23 18:14:21"
256,7,"Blend fondente extra dark chocolate",90,"paper",70,0,"","","2015-05-23 18:14:21"
257,71,"Cioccolato fondente extra",60,"box",90,1,"","","2015-05-23 18:14:21"
258,86,"Crna malina",70,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
259,84,"Seka mljecna cokolada",30,"paper",75,0,"faldone rosso","","2015-05-23 18:14:21"
260,7,"Blend fondente extra dark chocolate",80,"paper",70,1,"","","2015-05-23 18:14:21"
261,7,"Extra fondente con Nibs",75,"paper",800,0,"","","2015-05-23 18:14:21"
262,87,"Venezuela Sur del Lago",75,"box",50,0,"","","2015-05-23 18:14:21"
263,87,"Ghana",85,"box",100,0,"","","2015-05-23 18:14:21"
264,7,"Blend fondente extra dark chocolate",60,"paper",70,0,"","","2015-05-23 18:14:21"
265,7,"Blend confezione 3 cioccolate",0,"box",210,0,"","","2015-05-23 18:14:21"
266,8,"Mascao latte",32,"box",100,0,"faldone blu","","2015-05-23 18:14:21"
267,50,"Cioccolato fondente extra biologico",70,"box",100,0,"faldone blu","","2015-05-23 18:14:21"
268,83,"Cioccolato finissimo al latte - Caffè della Colombia",32,"box",100,0,"faldone blu","","2015-05-23 18:14:21"
269,85,"Grand Caraque - Isla Guadelopue",100,"box",72,0,"","","2015-05-23 18:14:21"
270,85,"Tanzania - Ghana - Sao Tomé",80,"box",72,0,"","","2015-05-23 18:14:21"
271,88,"Emilia - cioccolato fondente extra",50,"paper",200,0,"faldone giallo","","2015-05-23 18:14:21"
272,89,"Squares - milk chocolate with Hazelnut Crisp filling",0,"paper",14,0,"faldone rosso","da Michela","2015-05-23 18:14:21"
273,89,"Squares - coockies and creme",0,"paper",14,0,"faldone rosso","da Michela","2015-05-23 18:14:21"
274,89,"Squares - dark chocolate with caramel filling",0,"paper",14,0,"faldone rosso","da Michela","2015-05-23 18:14:21"
275,90,"Cioccolato modicano al caffè",50,"box",100,0,"","da Stefania e Diego","2015-05-23 18:14:21"
276,91,"Cranberry - limited edition",52,"box",125,0,"","","2015-05-23 18:14:21"
277,91,"Cranberry - limited edition",52,"paper",25,1,"","","2015-05-23 18:14:21"
278,87,"Fondente con avena",70,"box",80,0,"","","2015-05-23 18:14:21"
279,92,"Cioccolato fondente e nocciole",60,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
280,89,"Squares - dark chocolate with truffle filling",0,"paper",14,0,"faldone rosso","da Michela","2015-05-23 18:14:21"
281,83,"Cioccolato fondente extra dark",70,"paper",100,1,"faldone giallo","","2015-05-23 18:14:21"
282,6,"Cioccolato fondente extra",50,"paper",200,0,"faldone giallo","","2015-05-23 18:14:21"
283,54,"Rjomasukkuladi",33,"paper",20,0,"faldone rosso","","2015-05-23 18:14:21"
284,87,"Cioccolato fondente",70,"label",100,0,"faldone giallo","","2015-05-23 18:14:21"
285,16,"Orange & Pistache",31,"box",97,0,"faldone verde","da zia Gabri","2015-05-23 18:14:21"
286,91,"Mousse au chocolat Orange",85,"box",188,0,"","","2015-05-23 18:14:21"
